Vide descriptions
"A couple bags of balloons, some left over decorations from my other daughters birthday, a few borrowed items from friends and family, and an hour or so of work, and they had a night to remember!! But the real question is, do you remember your first sleepover?!? 🤍🎈 #birthday #sleepover #party "
who would you bring on a trip to the Bahamas 🌺 #honeymoon #travelbucketlist #thebahamas #caribbean #vacationinspo 
Things to do in Cabo - Part 2! 🇲🇽 #cabo #cabosanlucas #traveltok #travelblogger  
All the details to our 4 day trip in Cabo. ✨ #fyp #whatwespent #cabo #cabosanlucas #travel 
Let’s detox my son’s locs with me after 3 months #fypシ 
5 Must-Do things in Costa Rica💫🌴🌺🦜 #travel #traveltiktok #adventure #costarica #costaricatravel #thingstodo #nature #travellife #buckelist #rainforest #monteverde #views #waterfall #hangingbridges #ziplining 
land of adventures 🫶 #costaricatravel #costaricacool #dominicalcostarica #santateresacostarica #lafortunawaterfall #lafortunacostarica #nauyacawaterfalls 
When you invute your white friends over for food @Chantelle Rose @Adro Shot It @laurenrosefarmer 
When your white friends invite you in for food @Chantelle Rose @Adro Shot It @laurenrosefarmer 
#piinkmango #blackfriday 
i loved watching every single second of it 🎁❤️ #funfamilygames #funnygames #familytime #holidaytiktok #holidaygames #christmasgames #christmasfun #funchristmasgames #christmaspartygames
"Serving kristy at the end 😏 I personally love Penne Alla Vodka. It’s my favorite pasta dish. It’s a staple in my home and I wanted to share it with you! Let me know what your favorite pasta is, maybe I’ll make it soon!😉 Recipe Below. Penne Alla Vodka Recipe Ingredients  	•	1 lb bag Penne pasta 	•	1 package of Prosciutto 	•	3 Garlic Cloves (or more I love garlic I do 6) 	•	1/2 cup heavy cream 	•	3-4 Tablespoons, Titos Vodka (any brand works I use Tito’s) 	•	1 28oz Can Whole Peeled Tomatoes 	•	1 bunch of fresh Basil 	•	3 Tablespoons Olive Oil 	•	3 Tablespoons Unsalted Butter 	•	Minced Parsley for garnish 	•	Grated Parmesan for garnish 	•	Salt & Pepper Instructions:  First, start a pot of boiling water for your pasta. While that comes to a boil, cube your prosciutto and mince the garlic and parsley. In a food processor, blitz your tomatoes (I like mine kind of chunky so I do a very quick 2-5 second blitz). In a medium-low pan, add your olive oil, prosciutto, and garlic. cook down until the garlic starts to slightly brown. Add basil bunch. Then add vodka, and turn heat down momentarily to avoid flare up then turn the heat back up to medium. This is normally a good time to drop your pasta in and cook according to box instructions. Once the vodka has reduced, add your blitzed tomato. Reduce the liquid until it’s thick enough to run your spoon through the middle and no liquid fills in. Add your salt & pepper to taste. Then add your heavy cream. Stir till combined. Add butter and stir. Add cooked pasta and serve with grated Parmesan and parsley for garnish."
i love my bible so much #proverbs31woman #walkingbyfaith #shereadstruth #fyp #nandivuyiswa #CapCut 
i remember watching this on disney channel & being like wow thats so many years away 🥲#greenscreen#suitelifeofzackandcody#suitelifeondeck#disney#disneychannel#disney100#justrealized#nostalgia#childhood#childhoodmemories#childhoodshows#fyp#fnaf #oliviarodrigoobsessed #oliviarodrigoguts#ilookjustlikemymommy#corgi#oliviathecorgi#christopherbriney#meangirlsmusical#fnafmovieedit#joshhutcherson #joshhutchersonedit#strangerthings5#trending#sixthemusicalbroadway#megasix#sixthemusical  
Pov: Life updates with all your long distance besties 🥹❤️  #girldinner #powerpointnight #teatime #tea #girlsnightideas #bffgoals 
I know my friends be annoyed of me sometimes because I simply dont joke with certain things Inspo
✨God Math✨ Pt. 2  🤣🙏#Godmath #christian #christiantiktok #fyp #foryou #trending  
Replying to @commandersfan5 The ending☠️😂 #guessthedrinkchallenge #toddlerchallenge #drinkchallange #toddlers #toddlersoftiktok #fyp 
Do you know which cities these are?Captured here from: @parisfranceofficial@Barbora Ondrackova@Ｏｍｅｅｚｚｙ@ACQUIRED STYLE@Dr. Shna@Валерия Генне@yunobi@ximemontesdeoca@tiktokvenezia@axxtherese@Qing loves to travel@tiktokvenezia@Hannah Lawther@Macy-Leigh@Uday
Literally every ounce of stress exits my body 🥲 
Life Hacks #freecomedy #themannii 
#fyp #foryou 
Back stretch and self release #backpainrelief #backcracks #trending #viral 
WHO’S JOINING ME?! 🧡 #jesusgal #thejesuschallenge #jesusisking #relationshipwithgod #christiantiktok #youvebeenchallenged #jesusfollower #spendingtimewithgod #godsgirl 
In my storefr0nt under “car must-haves” or DM me C444 for l!nks! #amazoncarfinds2023 #amazonorganization #amazonmusthaves2023 
Number 2 is my fav 😅🙌🏼 #travel #travelgadgets #travelproducts #airport #portable #gadgets #amazonfinds #justicebuys #
Number 3 is my fav 🙌🏼😂 #amazonfinds #gadgets #justicebuys #productreview #tiktokmademebuyit #amazonfinds 
Best selling carry on suitcase on Amazon! #founditonamazon #amazonbestseller #travelmusthaves 
The ultimate travel hack for visiting Dubai… 👀 #dubai #uae #travelhacks #fyp 
#stitch with @Christopher Cop #fyp 
