video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7337739350954003755,2024-02-20T12:36:27,66.0,US,"girls just wanna have fun, sleepover birthday party, sleepover, Birthday Party, Birthday Celebration, Birthday Decor, Balloon Decor, Balloon Decorations, Party Decorations, Sleepover Tent Party",2200000.0,21000.0,6246.0,15000000.0,"A couple bags of balloons, some left over decorations from my other daughters birthday, a few borrowed items from friends and family, and an hour or so of work, and they had a night to remember!! But the real question is, do you remember your first sleepover?!? 🤍🎈 #birthday #sleepover #party ",False,,dadsocial,Mason Smith,,,,,,False
7331152947268767022,2024-02-02T18:38:09,8.0,US,"bahama, bahama vacation, bahama ghetto, the bahama islands, bahama travel warning, bahama beach, nassau bahama trip, vacation, Travel, bahama travel",611900.0,3872.0,2207.0,3600000.0,who would you bring on a trip to the Bahamas 🌺 #honeymoon #travelbucketlist #thebahamas #caribbean #vacationinspo ,False,,ginaammarie,Gina Marie 🐚💗🐬,,,,,,False
7320668358813207814,2024-01-05T12:32:09,61.0,KE,,57400.0,472.0,282.0,279100.0,Comment things only kenyans do😂😂 #tiktokkenya #fyp #muturaisafruit #ciiru_gakenia ,False,,ciiru_gakenia,• Your mom’s fave 🤍•,,,,,,False
7303220821466680581,2023-11-19T12:06:47,15.0,CA,"punta cana, going on vacation wont solve your problems, Punta Cana Vacation, vacation, Travel Vacation, Going On Vacation, Vacation Destinations, Travel And Vacation, Travel Vacation Trip, Things To Do In Punta Cana Dominican Republic",72600.0,21800.0,569.0,1200000.0,Going on vacation is a form of therapy... and I'm fully committed to my treatment in Punta Cana 😎🌴 #puntacanaadventures #puntacana #thingstodoinpuntacana #puntacanavacation #puntacanaresort ,False,,puntacanaadventures,Punta Cana Adventures,,,,,,False
7212805862015110446,2023-03-20T21:30:39,45.0,US,"cabo san lucas, Things To Do In Cabo, Things To Do In Cabo San Lucas, kayak, Things To Do, Visiting Cabo San Lucas, Things To Do In Los Cabos, Visiting Cabo, Mexico, Kayak Boats, Explore Cabo San Lucas",2127.0,731.0,19.0,103800.0,Things to do in Cabo - Part 2! 🇲🇽 #cabo #cabosanlucas #traveltok #travelblogger  ,False,,foodpeopleluv,FoodPeopleLuv,,,,,,False
7219050684321254698,2023-04-06T17:23:49,270.0,US,"Cabo San Lucas, clear boat cabos, Travel, trips, Visiting Cabo San Lucas, Travel Vacation Trip, Visiting Cabo, Mexico, Day Trip, Explore Cabo San Lucas, Travel Vacation",146900.0,18000.0,462.0,1400000.0,All the details to our 4 day trip in Cabo. ✨ #fyp #whatwespent #cabo #cabosanlucas #travel ,False,,muaerika18,muaerika18,,,,,,False
7304620954049727750,2023-11-23T06:40:03,14.0,OM,"rio celeste costa rica, Costa Rica, la fortuna costa rica, Waterfalls, Celeste, Things To Do In Costa Rica, Costa Rica Tour, Costa Rica Itinerary, Costa Rica Travel Tips, travel tiktok",4990.0,701.0,81.0,112500.0,Rio Celeste full hike #costarica #costarica🇨🇷 #costaricacool #costaricatiktok #costaricapuravida #costaricawaterfalls #lafortuna #rioceleste #riocelestewaterfall ,False,,costaricagems,Costa Rica Gems,,,,,,False
7291378153052851489,2023-10-18T15:11:13,21.0,IE,"philippines travel, El Nido, Palawan, Palawan Philippines, Cebu Philippines, coron philippines, balabac island philippines, Travel In The Philippines, Travel, Travel Destinations, travel tiktok",41600.0,6596.0,326.0,819200.0,The perfect two-week itinerary for the Philippines ❤️‍🔥 #philippines #elnido #coron #balabac #palawan #philippinestiktok #philippinesbucketlist #bohol #thingstodointhephilippines #travelphilippines #solotraveler #twinlagoon #onukisland #nacpanbeach #secretlagoon #budgettravels ,False,,theworldwithrose,theworldwithrose,,,,,,False
7310344854129642757,2023-12-08T16:51:41,82.0,CA,"amazon finds 2023 products, amazon finds, amazon must haves, amazon finds 2023 products kitchen, Amazon Best Products To Buy, Amazon, amazon home finds, Amazon Must Haves 2023, amazon finds australia, Amazon Kitchen Finds",989800.0,99300.0,3941.0,14600000.0,Top 10 best most purchased amazon finds of 2023! ✨ #bestof2023 #2024countdown #top2023 #amazontopsellers #amazontopten #amazonbestseller #amazonshopping #amazonwishlist #amazonbestsellers2023 #amazonfinds2023🔥 #amazonbestsellers2023 #bestamazonfinds #amazonsbest #amazonmostloved #viralamazonfinds ,False,,sam.shan.shops,Sam Shan Shops 🦋,,,,,,False
7321133099318873390,2024-01-06T18:36:03,85.0,US,"Locs Detoxing, retwisting locs, detox dreads, loc retwist, hair detox, dreadlock cleaning, dreadlock detox, dreadlocks, washing dreadlocks, How To Retwist Locs",2800000.0,20500.0,14500.0,59500000.0,Let’s detox my son’s locs with me after 3 months #fypシ ,False,,theewilsons,Mrs Wilson,,,,,,False
7305223528834419973,2023-11-24T21:38:18,14.0,AU,,125600.0,7411.0,593.0,1700000.0,Hidden gem Costa Rica #costarica #costarica🇨🇷 #costaricacool #costaricatiktok #costaricapuravida #costaricawaterfalls #liberia ,False,,costaricagems,Costa Rica Gems,,,,,,False
7190147828642057515,2023-01-18T19:05:53,25.0,US,"costa rica, Things To Do In Costa Rica, Monteverde, Costa Rica, La Fortuna In Costa Rica, travel tiktok, Travel, Bucket List Travel, Travel Adventures, Travel Life, Travel Destinations",1492.0,322.0,17.0,75600.0,5 Must-Do things in Costa Rica💫🌴🌺🦜 #travel #traveltiktok #adventure #costarica #costaricatravel #thingstodo #nature #travellife #buckelist #rainforest #monteverde #views #waterfall #hangingbridges #ziplining ,False,,abigail.reagan,Abi | Travel & Adventure,,,,,,False
